sha256,notes
388895d6bed6a4b8dbd5021c28f425aa1afbf053ef1a9076e4e40b15c89c21b6,"No Investigation # field anywhere in document. Parser incorrectly extracted 'Report' from 'SPECIAL INVESTIGATION REPORT' header due to overly broad fallback regex pattern."
63878321fd44c82b6dfc89191da0d55ecc90bab9699a3ea8df8ed5a20a7ec54e,"Has 'Rule Code Placement' as column header before actual 'Rule Code & CPA Rule 400.12404'. Parser finds both instances of 'Rule Code' text, extracting 2 rules instead of 1, causing mismatch with 1 allegation."
ac605a1d5c8e3135912168bf4c0f92f6607e7d4070b30f0548c492214e28a3ff,"1 allegation, 1 rule - correctly matched. Rule: 400.4109"
e70f4645f381a94bb2f0f420ab323f868fa6bde61984c883042076a7771f58a5,"1 allegation, 1 rule - correctly matched. Rule: 400.4109"
fd26ea8c0dae1a534c84607a0cf702855378ed1af4120032e919de2528b00ea4,"1 allegation, 2 rules extracted (incorrect). Has 'Rule Code Sufficiency of staff' column header followed by 'Rule Code & CCI Rule 400.4126'. Parser extracts duplicate rule 400.4126."
276ad73de86c2dc25f8ec9f6b70416aa6fdd9df1aeddbdb4c1bdc6e01f88f898,"1 allegation, 2 rules extracted (incorrect). Has 'Rule Code Resident restraint' column header followed by 'Rule Code & COF Rule 400.10177'. Parser extracts duplicate rule 400.10177."
c1080ee0baa88f48fd2e64956b5344ba86859a02da3e1ab496cd99a5f981d4bb,"2 allegations, 2 rules - correctly matched. Rules: 400.4126, 400.4109"
f5040c7955484ea095166f6587ec21c34a67e712cf3374354f7868c4001b9ce0,"2 allegations, 4 rules extracted (incorrect). Each rule has column header causing duplication. Rules should be 400.4126, 400.4109 but parser extracts each twice."
7f413b18ccce2460c9c59eede78a6ac4c1e39aa0dfdf0efab21be4df89e4e9bb,"Uses 'Rule Code &' followed by 'R 400.4109' (capital R) instead of standard 'Rule 400.4109' format."
50ed2233b052689cd71aac0f85a6c3b6b59fac3c7e49e77adc0f84c5dd4d5156,"Has column header 'Rule Code Youth restraint...' as title, then 'Rule Code & R 400.4159'. Different structure with 'R' prefix."
592218a7faf9ebdacf7af21b6e90a2ffceef86ba87f7a47caa1e02c1ac5cd6cd,"Does NOT use 'Rule Code' prefix at all. Goes directly to 'R 400.12214 Compliance with 1975 PA 238.' Completely different format from most SIRs."
99f436a47ab646b383c0c5b0bd82f3d44bc7d3a9dfb0a8c1d37e163afa04889f,"Uses 'Rule Code & R 400.4109' format with 'R' prefix instead of standard 'Rule' format."
b918cea3f07452e9fcdc4e2eedb9a9f41e0c3e04c3ee1cda46bc5a2758aabb20,"Structure B document: I. IDENTIFYING INFO, II. METHODOLOGY (not ALLEGATION), III. RECOMMENDATION. Uses 'APPLICABLE RULE' format in Section II. Parser searches for rules after 'III' but rules are in Section II, resulting in 0 rules extracted instead of 3."
ecea03a1d22844c972f0c34a1f21d9b94e44a5ab354fe25c3a89f4e1b2bf3e6e,"Uses FOM (Field Operations Manual) format instead of Rule 400.xxx. Has 4 FOM rules including FOM 722-03D mentioned twice with conflicting violation statuses (has_status_conflict=True). Tests both FOM format extraction and duplicate conflict detection."
81f8c85b189091080b85a48bdf71a3daaa0a88f6dee1f6da4b39f1e0f99e61b2,"Structure C: III. METHODOLOGY (not INVESTIGATION) with INVESTIGATION subsection inside. 1 allegation, 3 rules - legitimate case where single prone restraint allegation violates 3 different restraint rules (400.4160, 400.4159, 400.4161). Parser handles correctly by searching Section III regardless of label."
adbbf0431a816c7d6e63e4ef0f9adf3b06ee7a91a01cfbb3038b2f7c49a0fb35,"4 allegations, 2 rules extracted. Needs investigation to understand if this is parser bug or legitimate fewer rules than allegations."
da708626667f6a294be19a3de8a5e3ad0cad9e5a7e4e27e8d3993aae6e08b3d2,"1 allegation, 0 rules extracted. Needs investigation - may be FOM format, unusual structure, or missing rules section."
9a054a7f447ba91391b08d4dc8b1b6ffc4fc5e12e86a7d1638bd800d65f0cc7c,"HIV/AIDS bug test case. Section extraction terminated early when pattern matched 'IV' inside 'HIV/AIDS child'. Old parser found 0 rules, structure-agnostic parser correctly finds 4 rules (400.12310, 400.12324, 400.12404, 400.12417)."
330e5008a2017d1e9e9ca89c0c77ba52e1f8a18f05fbb55e939ae7331ed5c4b2,"Rule 400.12405 mentioned 5 times with conflicting violation statuses. Has both VIOLATION ESTABLISHED and VIOLATION NOT ESTABLISHED conclusions for same rule. Tests conflict detection with high duplicate count."
17bd9541700fc86f3daeb19d0cf2963ebcf73b05e3de2e0f3b44c31d3fe6c21e,"Rule 400.12206 mentioned 4 times with conflicting statuses. Tests violation status conflict detection."
73d7580453fd44f99965fd5c86aac8555e0bcb56449a82f6e7f1d22cf03da55f,"Rule 400.4127 mentioned 4 times, originally appeared to have conflicting statuses due to conclusion extraction bug. After fix, all correctly show VIOLATION ESTABLISHED. Tests conclusion extraction stopping at ADDITIONAL FINDINGS marker."
